model	number of topics	under_coverage	over_coverage	dataset	llm
bertopic	50	3.851	6.163	agris	gemma-large
bertopic	100	3.952	6.134	agris	gemma-large
combinedtm	50	3.704	5.675	agris	gemma-large
combinedtm	100	3.665	5.5	agris	gemma-large
lda	50	3.65	6.114	agris	gemma-large
lda	100	3.828	6.366	agris	gemma-large
prodlda	50	3.595	5.67	agris	gemma-large
prodlda	100	3.621	5.688	agris	gemma-large
bertopic	50	2.782	6.709	tweets_ny	gemma-large
bertopic	100	2.815	6.499	tweets_ny	gemma-large
combinedtm	50	2.718	6.912	tweets_ny	gemma-large
combinedtm	100	2.877	7.105	tweets_ny	gemma-large
lda	50	2.627	7.054	tweets_ny	gemma-large
lda	100	2.574	7.243	tweets_ny	gemma-large
prodlda	50	2.792	7.205	tweets_ny	gemma-large
prodlda	100	2.857	7.156	tweets_ny	gemma-large
bertopic	50	5.253	7.341	20ng	gemma-large
bertopic	100	5.212	7.437	20ng	gemma-large
combinedtm	50	5.181	5.818	20ng	gemma-large
combinedtm	100	5.318	5.753	20ng	gemma-large
lda	50	5.23	6.025	20ng	gemma-large
lda	100	5.147	6.282	20ng	gemma-large
prodlda	50	5.387	5.957	20ng	gemma-large
prodlda	100	5.359	6.105	20ng	gemma-large
bertopic	50	2.717	4.91	tweets_ny	llama
bertopic	100	2.726	5.152	tweets_ny	llama
combinedtm	50	3.059	5.368	tweets_ny	llama
combinedtm	100	3.024	5.781	tweets_ny	llama
lda	50	3.177	6.025	tweets_ny	llama
lda	100	3.424	6.197	tweets_ny	llama
prodlda	50	2.99	6.126	tweets_ny	llama
prodlda	100	2.932	6.057	tweets_ny	llama
bertopic	50	6.782	6.298	20ng	llama
bertopic	100	6.638	6.712	20ng	llama
combinedtm	50	6.975	4.695	20ng	llama
combinedtm	100	7.048	4.613	20ng	llama
lda	50	7.138	4.747	20ng	llama
lda	100	7.054	4.758	20ng	llama
prodlda	50	7.176	5.162	20ng	llama
prodlda	100	7.114	5.116	20ng	llama
bertopic	50	4.698	4.723	agris	llama
bertopic	100	4.484	5.055	agris	llama
combinedtm	50	4.497	4.938	agris	llama
combinedtm	100	4.616	4.582	agris	llama
lda	50	4.594	4.932	agris	llama
lda	100	4.789	5.296	agris	llama
prodlda	50	4.481	4.604	agris	llama
prodlda	100	4.652	4.617	agris	llama
bertopic	50	0.251	2.593	agris	mistral
bertopic	100	0.139	2.902	agris	mistral
combinedtm	50	0.815	3.507	agris	mistral
combinedtm	100	0.786	3.18	agris	mistral
lda	50	0.84	4.156	agris	mistral
lda	100	0.988	4.619	agris	mistral
prodlda	50	0.792	3.656	agris	mistral
prodlda	100	0.722	3.44	agris	mistral
bertopic	50	0.331	3.824	tweets_ny	mistral
bertopic	100	0.442	4.05	tweets_ny	mistral
combinedtm	50	0.788	4.627	tweets_ny	mistral
combinedtm	100	0.97	5.066	tweets_ny	mistral
lda	50	1.044	5.149	tweets_ny	mistral
lda	100	1.104	5.278	tweets_ny	mistral
prodlda	50	0.713	5.445	tweets_ny	mistral
prodlda	100	0.915	5.183	tweets_ny	mistral
bertopic	50	1.08	3.185	20ng	mistral
bertopic	100	1.026	3.786	20ng	mistral
combinedtm	50	1.225	2.758	20ng	mistral
combinedtm	100	1.555	2.665	20ng	mistral
lda	50	1.473	2.8	20ng	mistral
lda	100	1.978	3.189	20ng	mistral
prodlda	50	1.996	3.518	20ng	mistral
prodlda	100	1.645	3.213	20ng	mistral
bertopic	50	7.653	8.279	20ng	llama-large
bertopic	100	7.534	8.369	20ng	llama-large
combinedtm	50	7.717	5.396	20ng	llama-large
combinedtm	100	8.005	5.488	20ng	llama-large
lda	50	7.98	6.013	20ng	llama-large
lda	100	8.068	6.009	20ng	llama-large
prodlda	50	7.893	6.005	20ng	llama-large
prodlda	100	8.019	6.001	20ng	llama-large
bertopic	50	6.401	6.028	agris	llama-large
bertopic	100	6.252	6.145	agris	llama-large
combinedtm	50	6.751	5.501	agris	llama-large
combinedtm	100	6.751	5.229	agris	llama-large
lda	50	6.559	6.011	agris	llama-large
lda	100	6.773	6.417	agris	llama-large
prodlda	50	6.35	5.454	agris	llama-large
prodlda	100	6.562	5.478	agris	llama-large
bertopic	50	3.896	6.757	tweets_ny	llama-large
bertopic	100	4.04	6.479	tweets_ny	llama-large
combinedtm	50	4.353	6.614	tweets_ny	llama-large
combinedtm	100	4.563	6.771	tweets_ny	llama-large
lda	50	4.666	6.974	tweets_ny	llama-large
lda	100	4.965	7.104	tweets_ny	llama-large
prodlda	50	4.487	7.028	tweets_ny	llama-large
prodlda	100	4.533	7.191	tweets_ny	llama-large
bertopic	50	0.084	6.883	agris	qwen
bertopic	100	0.203	6.941	agris	qwen
combinedtm	50	0.847	6.713	agris	qwen
combinedtm	100	0.744	6.474	agris	qwen
lda	50	0.961	6.819	agris	qwen
lda	100	1.239	7.081	agris	qwen
prodlda	50	1.131	6.621	agris	qwen
prodlda	100	0.978	6.62	agris	qwen
bertopic	50	0.016	7.804	tweets_ny	qwen
bertopic	100	0.045	7.329	tweets_ny	qwen
combinedtm	50	0.1	7.999	tweets_ny	qwen
combinedtm	100	0.066	8.173	tweets_ny	qwen
lda	50	0.311	8.012	tweets_ny	qwen
lda	100	0.393	7.515	tweets_ny	qwen
prodlda	50	0.046	8.114	tweets_ny	qwen
prodlda	100	0.056	8.176	tweets_ny	qwen
bertopic	50	0.086	8.304	20ng	qwen
bertopic	100	0.108	8.777	20ng	qwen
combinedtm	50	0.857	6.472	20ng	qwen
combinedtm	100	0.757	6.494	20ng	qwen
lda	50	0.641	6.646	20ng	qwen
lda	100	1.052	6.866	20ng	qwen
prodlda	50	0.481	6.536	20ng	qwen
prodlda	100	0.563	6.822	20ng	qwen
bertopic	50	6.423	7.81	20ng	mistral-large
bertopic	100	6.66	8.15	20ng	mistral-large
combinedtm	50	7.479	5.828	20ng	mistral-large
combinedtm	100	7.641	5.869	20ng	mistral-large
lda	50	7.852	6.146	20ng	mistral-large
lda	100	7.97	6.564	20ng	mistral-large
prodlda	50	7.255	6.132	20ng	mistral-large
prodlda	100	7.586	6.349	20ng	mistral-large
bertopic	50	2.512	7.435	tweets_ny	mistral-large
bertopic	100	2.931	7.068	tweets_ny	mistral-large
combinedtm	50	3.463	7.405	tweets_ny	mistral-large
combinedtm	100	3.188	7.536	tweets_ny	mistral-large
lda	50	3.692	7.727	tweets_ny	mistral-large
lda	100	4.314	7.687	tweets_ny	mistral-large
prodlda	50	3.27	7.912	tweets_ny	mistral-large
prodlda	100	3.703	7.712	tweets_ny	mistral-large
bertopic	50	4.994	6.476	agris	mistral-large
bertopic	100	5.299	6.447	agris	mistral-large
combinedtm	50	5.968	6.137	agris	mistral-large
combinedtm	100	5.864	5.783	agris	mistral-large
lda	50	5.915	6.525	agris	mistral-large
lda	100	5.82	6.847	agris	mistral-large
prodlda	50	5.34	6.105	agris	mistral-large
prodlda	100	5.795	6.146	agris	mistral-large
bertopic	50	4.528	4.72	agris	gemma
bertopic	100	4.355	4.836	agris	gemma
combinedtm	50	4.358	4.983	agris	gemma
combinedtm	100	4.031	4.264	agris	gemma
lda	50	4.352	5.313	agris	gemma
lda	100	4.376	5.845	agris	gemma
prodlda	50	4.059	4.456	agris	gemma
prodlda	100	4.214	4.339	agris	gemma
bertopic	50	3.63	5.561	tweets_ny	gemma
bertopic	100	3.694	5.491	tweets_ny	gemma
combinedtm	50	3.54	6.095	tweets_ny	gemma
combinedtm	100	3.535	6.424	tweets_ny	gemma
lda	50	3.546	6.384	tweets_ny	gemma
lda	100	3.436	6.287	tweets_ny	gemma
prodlda	50	3.718	6.276	tweets_ny	gemma
prodlda	100	3.733	6.412	tweets_ny	gemma
bertopic	50	4.13	6.761	20ng	gemma
bertopic	100	4.374	6.748	20ng	gemma
combinedtm	50	5.037	5.804	20ng	gemma
combinedtm	100	4.817	5.927	20ng	gemma
lda	50	5.176	6.012	20ng	gemma
lda	100	5.045	6.036	20ng	gemma
prodlda	50	5.333	5.861	20ng	gemma
prodlda	100	5.075	6.153	20ng	gemma
bertopic	50	2.061	8.003	20ng	qwen-large
bertopic	100	2.254	8.469	20ng	qwen-large
combinedtm	50	4.741	6.744	20ng	qwen-large
combinedtm	100	4.343	6.645	20ng	qwen-large
lda	50	4.175	7.051	20ng	qwen-large
lda	100	4.086	7.185	20ng	qwen-large
prodlda	50	3.008	6.63	20ng	qwen-large
prodlda	100	3.889	6.993	20ng	qwen-large
bertopic	50	1.126	7.804	tweets_ny	qwen-large
bertopic	100	1.268	7.69	tweets_ny	qwen-large
combinedtm	50	1.445	8.41	tweets_ny	qwen-large
combinedtm	100	1.099	8.682	tweets_ny	qwen-large
lda	50	1.923	8.627	tweets_ny	qwen-large
lda	100	2.341	8.211	tweets_ny	qwen-large
prodlda	50	0.908	8.748	tweets_ny	qwen-large
prodlda	100	1.352	8.686	tweets_ny	qwen-large
bertopic	50	3.458	5.561	agris	qwen-large
bertopic	100	3.082	5.944	agris	qwen-large
combinedtm	50	3.66	6.508	agris	qwen-large
combinedtm	100	3.822	6.493	agris	qwen-large
lda	50	3.913	7.3	agris	qwen-large
lda	100	3.928	7.548	agris	qwen-large
prodlda	50	3.534	7.179	agris	qwen-large
prodlda	100	3.752	6.941	agris	qwen-large
