LLM-based Metric	LLM	K	LDA-20NG	ProdLDA-20NG	CombineTM-20NG	BERTopic-20NG	LDA-AGRIS	ProdLDA-AGRIS	CombineTM-AGRIS	BERTopic-AGRIS	LDA-TWEETS_NYR	ProdLDA-TWEETS_NYR	CombineTM-TWEETS_NYR	BERTopic-TWEETS_NYR
L_rate	Gemma	50	2.752	2.532	2.848	2.927	2.98	2.94	2.94	3	2.604	2.552	2.748	2.673
L_rate	Gemma-large	50	2.84	2.456	2.844	2.942	2.98	2.92	2.92	3	2.68	2.52	2.72	2.558
L_rate	Llama	50	2.3	2.088	2.204	2.323	2.568	2.476	2.54	2.652	2.076	2.084	2.18	2.204
L_rate	Llama-large	50	2.976	2.52	2.868	2.969	2.98	2.94	2.94	3	2.868	2.656	2.788	2.542
L_rate	Mistral	50	2.792	2.564	2.796	2.904	2.904	2.904	2.88	2.931	2.768	2.64	2.768	2.758
L_rate	Mistral-large	50	2.856	2.504	2.72	2.931	2.948	2.908	2.928	2.969	2.656	2.344	2.728	2.504
L_rate	Qwen	50	2.996	2.264	2.756	2.992	2.924	2.868	2.96	3	2.668	2.48	2.716	2.619
L_rate	Qwen-large	50	2.984	2.32	2.912	3	2.98	2.94	2.96	3	2.912	2.688	2.872	2.681
L_rate	Gemma	100	2.84	2.664	2.768	2.935	2.864	2.95	2.948	3	2.666	2.398	2.62	2.532
L_rate	Gemma-large	100	2.85	2.602	2.75	2.941	2.846	2.942	2.94	3	2.618	2.466	2.61	2.507
L_rate	Llama	100	2.25	2.188	2.192	2.249	2.366	2.586	2.554	2.639	2.164	2.062	2.12	2.111
L_rate	Llama-large	100	2.964	2.698	2.808	2.937	2.91	2.95	2.95	3	2.856	2.628	2.778	2.58
L_rate	Mistral	100	2.83	2.676	2.776	2.865	2.83	2.916	2.904	2.92	2.748	2.672	2.714	2.668
L_rate	Mistral-large	100	2.816	2.596	2.732	2.869	2.802	2.944	2.934	2.976	2.656	2.372	2.564	2.425
L_rate	Qwen	100	2.884	2.588	2.662	2.953	2.882	2.902	2.93	2.989	2.722	2.424	2.596	2.604
L_rate	Qwen-large	100	2.986	2.692	2.786	2.982	2.94	2.928	2.966	3	2.88	2.71	2.804	2.634
L_nonword	Gemma	50	0.22	0.24	0.22	0.096	0.36	0.2	0.38	0.069	0.22	0.28	0.34	0.481
L_nonword	Gemma-large	50	0.26	0.3	0.2	0.192	0.04	0.02	0.18	0.103	0.36	0.38	0.18	0.211
L_nonword	Llama	50	1.06	2.14	1.34	0.962	0.78	0.74	1.14	1.052	1.04	1.22	1.16	1.635
L_nonword	Llama-large	50	0.9	2.9	1.22	0.942	0.76	0.78	0.98	0.724	0.9	1.02	1.16	1.5
L_nonword	Mistral	50	0	1.14	0.12	0	0.02	0.04	0.06	0.035	0.02	0.28	0.12	0.327
L_nonword	Mistral-large	50	0.26	2.22	0.62	0.211	0.2	0.28	0.34	0.121	0.6	1.18	0.6	1.442
L_nonword	Qwen	50	1.62	2.8	2.14	1.135	0.78	0.74	1.04	0.448	2.02	2.5	1.6	2.231
L_nonword	Qwen-large	50	0.16	1.1	0.62	0.096	0.18	0.26	0.36	0.052	0.46	0.92	0.52	1.192
L_nonword	Gemma	100	0.18	0.51	0.2	0.188	0.27	0.15	0.22	0.183	0.19	0.27	0.23	0.5
L_nonword	Gemma-large	100	0.32	0.21	0.22	0.257	0.17	0.11	0.09	0.172	0.34	0.22	0.2	0.259
L_nonword	Llama	100	0.87	1.59	1.36	1.149	1.26	1.04	1.06	1.097	1.13	1.51	1.22	1.723
L_nonword	Llama-large	100	0.87	1.62	1.51	0.97	1.35	0.85	0.91	0.86	0.98	1.35	1.11	1.464
L_nonword	Mistral	100	0.03	0.55	0.14	0.01	0.12	0.03	0.03	0.011	0.09	0.36	0.19	0.259
L_nonword	Mistral-large	100	0.38	1.04	0.79	0.366	0.75	0.92	0.29	0.183	0.69	1.27	0.9	1.527
L_nonword	Qwen	100	1.78	2.04	1.6	1.614	1.81	0.9	1.17	0.495	2.14	2.75	2.21	2.679
L_nonword	Qwen-large	100	0.24	0.88	0.66	0.307	0.61	0.31	0.37	0.086	0.5	1.05	0.61	1.393
C_UMASS	automated	50	-3.596	-6.749	-5.416	-5.127	-5.392	-5.12	-5.574	-5.153	-19.005	-19.373	-17.381	-18.088
C_NPMI	automated	50	-0.063	-0.04	-0.051	-0.069	0.035	0.08	0.054	0.047	-0.436	-0.425	-0.395	-0.3134
C_V	automated	50	0.462	0.47	0.519	0.522	0.507	0.607	0.553	0.545	0.506	0.513	0.473	0.418
C_UMASS	automated	100	-3.718	-6.296	-5.819	-4.514	-8.9755	-5.042	-4.842	-4.774	-16.816	-19.315	-19.14	-17.5573
C_NPMI	automated	100	-0.117	-0.05	-0.05	-0.025	-0.039	0.0869	0.077	0.053	-0.343	-0.417	-0.44	-0.289
C_V	automated	100	0.413	0.507	0.521	0.564	0.426	0.618	0.59	0.558	0.36	0.511	0.519	0.38
C_rate	Gemma	50	2.208	2.14	2.22	2.469	2.476	2.764	2.592	2.924	1.984	2	2.064	2.331
C_rate	Gemma-large	50	2.224	1.932	2.28	2.592	2.56	2.784	2.716	2.983	1.904	1.872	2	2.269
C_rate	Llama	50	2.544	2.304	2.648	2.889	2.872	2.944	2.908	3	2.136	2.06	2.436	2.723
C_rate	Llama-large	50	2.44	1.904	2.412	2.815	2.66	2.88	2.788	2.983	1.964	1.896	2.116	2.438
C_rate	Mistral	50	2.544	2.416	2.56	2.688	2.664	2.74	2.668	2.834	2.344	2.328	2.436	2.6
C_rate	Mistral-large	50	2.332	1.988	2.288	2.646	2.712	2.852	2.748	2.969	1.816	1.708	2	2.312
C_rate	Qwen	50	2.016	1.728	1.988	2.477	2.368	2.688	2.54	2.934	1.196	1.112	1.56	1.942
C_rate	Qwen-large	50	1.948	1.74	2.064	2.496	2.448	2.692	2.612	2.945	1.196	1.116	1.448	1.973
C_rate	Gemma	100	2.162	2.248	2.224	0.563	2.406	2.704	2.64	2.938	1.994	1.992	1.992	2.173
C_rate	Gemma-large	100	2.138	2.104	2.21	2.513	2.458	2.794	2.732	2.968	1.936	1.828	1.85	2.225
C_rate	Llama	100	2.55	2.472	2.598	2.855	2.786	2.952	2.94	3	2.184	1.998	2.044	2.621
C_rate	Llama-large	100	2.246	2.202	2.332	2.699	2.546	2.854	2.832	2.989	2.034	1.846	1.968	2.361
C_rate	Mistral	100	2.5	2.5	2.514	2.654	2.608	2.722	2.708	2.8	2.35	2.288	2.304	2.58
C_rate	Mistral-large	100	2.21	2.16	2.222	2.553	2.478	2.82	2.804	2.968	1.866	1.654	1.768	2.191
C_rate	Qwen	100	1.746	1.84	1.928	2.346	2.072	2.708	2.632	2.895	1.224	1.094	1.182	1.863
C_rate	Qwen-large	100	1.794	1.832	1.96	2.343	2.248	2.684	2.64	2.968	1.222	1.11	1.16	1.811
C_outlier	Gemma	50	1.68	1.86	1.64	1.192	1.14	1.16	1.14	0.81	2.08	2	1.8	1.846
C_outlier	Gemma-large	50	1.68	1.84	1.98	1.135	1.46	1.38	1.28	0.948	1.94	2.42	2.18	1.423
C_outlier	Llama	50	1.66	1.62	1.66	1.635	1.74	1.58	1.66	1.483	1.8	1.84	1.56	1.654
C_outlier	Llama-large	50	2.5	2.5	2.56	1.942	2	2.16	2.04	1.759	2.34	2.52	2.56	2.404
C_outlier	Mistral	50	0.94	1.86	1.16	0.673	0.82	0.68	0.64	0.207	1.36	1.12	1.28	1.288
C_outlier	Mistral-large	50	1.54	2.06	1.68	1.558	1.48	1.34	1.3	1.207	1.64	1.68	1.82	1.769
C_outlier	Qwen	50	2.08	2.58	2.16	1.769	2.56	1.68	2.34	1.759	2.36	2.46	2.68	1.904
C_outlier	Qwen-large	50	2.94	3.48	3.08	2.346	2.8	2.5	2.68	1.759	3.24	3.5	3.14	2.442
C_outlier	Gemma	100	1.68	2.01	1.9	1.376	1.38	1.45	1.93	2.39	1.86	2.01	2.13	2.071
C_outlier	Gemma-large	100	1.71	2.19	1.85	1.376	0.82	1.57	1.75	1.99	1.96	2.35	1.92	1.812
C_outlier	Llama	100	1.64	1.89	1.83	1.634	0.85	1.44	1.83	2.08	1.61	1.84	1.53	1.964
C_outlier	Llama-large	100	2.44	2.44	2.49	2.139	0.839	1.043	1.645	1.785	2.43	2.75	2.85	2.402
C_outlier	Mistral	100	0.91	1.21	1.14	0.911	0.97	0.56	0.65	0.452	1.36	1.33	1.46	1.25
C_outlier	Mistral-large	100	1.79	2.02	2.07	1.624	1.52	1.43	1.32	1.215	1.77	1.83	1.52	1.964
C_outlier	Qwen	100	2.26	2.36	2.2	2.198	2.18	1.97	2.36	1.645	2.26	2.43	2.46	2.482
C_outlier	Qwen-large	100	3	3.35	3.32	2.594	2.7	2.4	2.74	2.032	3.39	3.73	3.2	3.125
R_rate	Gemma	50	1.988	1.992	1.984	1.996	2	1.996	2	2	2	2	2	1.985
R_rate	Gemma-large	50	1.884	1.948	1.936	1.781	1.976	1.868	1.932	1.638	2	2	1.988	1.738
R_rate	Llama	50	1.728	1.952	1.804	1.488	1.636	1.408	1.5	1.276	2.128	2.176	1.924	1.542
R_rate	Llama-large	50	1.74	1.684	1.832	1.462	1.864	1.692	1.76	1.403	2.076	2.08	1.916	1.361
R_rate	Mistral	50	2.032	2.08	1.96	2.081	2.008	2.04	2.016	2.024	2.064	2.04	2.064	2.015
R_rate	Mistral-large	50	2.076	2.14	2.076	1.985	2.04	2.056	2.02	1.948	2.212	2.212	2.136	1.977
R_rate	Qwen	50	2.516	2.528	2.512	2.212	2.42	2.272	2.368	2.059	2.912	2.944	2.692	2.181
R_rate	Qwen-large	50	2.62	2.66	2.584	2.296	2.484	2.24	2.416	2.107	2.964	2.964	2.76	2.269
R_rate	Gemma	100	1.994	1.986	1.99	1.992	2	1.99	1.998	1.989	2	2	1.998	1.986
R_rate	Gemma-large	100	1.92	1.908	1.87	1.842	1.938	1.886	1.872	1.684	2	2	2	1.714
R_rate	Llama	100	1.792	1.884	1.732	1.548	1.634	1.426	1.45	1.256	2.044	2.196	2.11	1.632
R_rate	Llama-large	100	1.812	1.872	1.786	1.541	1.848	1.634	1.678	1.469	2.044	2.122	2.088	1.462
R_rate	Mistral	100	2.05	2.012	2.048	2.057	2.022	2.056	2.01	2.013	2.034	2.044	2.032	2.071
R_rate	Mistral-large	100	2.106	2.09	2.052	2.03	2.102	2.01	2.006	1.961	2.162	2.162	2.204	2.009
R_rate	Qwen	100	2.632	2.578	2.478	2.279	2.548	2.262	2.334	2.067	2.886	2.954	2.904	2.277
R_rate	Qwen-large	100	2.636	2.646	2.532	2.394	2.558	2.254	2.34	2.129	2.914	2.98	2.946	2.336
R_duplicate	Gemma	50	2.3	2.68	2.3	2.808	2.02	2.74	2.46	3.069	1.92	1.9	2.02	2.846
R_duplicate	Gemma-large	50	1.5	1.46	1.28	1.365	1.24	1.56	1.46	1.517	1.02	1.04	1.12	1.5
R_duplicate	Llama	50	2.64	2.5	2.54	3.058	2.74	2.78	3.24	3.328	2.3	2.46	2.28	2.615
R_duplicate	Llama-large	50	1.26	1.72	1.58	2	1.34	1.52	1.66	1.845	0.46	0.6	0.62	1.635
R_duplicate	Mistral	50	3.1	3.64	3.52	3.481	3.2	3.64	3.4	3.828	2.92	3.48	3.1	2.981
R_duplicate	Mistral-large	50	2.24	1.82	1.46	1.846	1.62	2.14	1.96	2.086	1.38	2	1.72	2.038
R_duplicate	Qwen	50	0.66	0.6	0.46	1.212	0.4	1.1	0.96	1.5	0.12	0.12	0.3	1.154
R_duplicate	Qwen-large	50	2.4	3.1	2.58	2.385	2.26	2.1	2.56	2.259	3.9	2.7	3.16	2.173
R_duplicate	Gemma	100	2.27	2.38	2.37	2.604	2.15	2.73	2.5	3.086	1.9	1.84	1.91	2.75
R_duplicate	Gemma-large	100	1.26	1.41	1.37	1.455	1.31	1.5	1.54	1.452	1.07	1.06	1.07	1.5
R_duplicate	Llama	100	2.41	2.5	2.85	2.723	2.55	2.69	3.08	2.871	2.15	2.13	2.42	2.723
R_duplicate	Llama-large	100	1.37	1.55	1.36	1.653	1.22	1.77	1.69	1.527	0.77	0.46	0.53	1.366
R_duplicate	Mistral	100	3.56	3.43	3.3	3.297	3.52	3.29	3.51	3.409	3.45	3.36	3.63	3.277
R_duplicate	Mistral-large	100	1.5	1.58	1.92	2.05	1.46	2.07	1.8	1.968	1.46	1.5	1.45	1.893
R_duplicate	Qwen	100	0.66	0.78	0.72	0.772	0.36	0.65	0.76	1.043	0.15	0.08	0.13	0.848
R_duplicate	Qwen-large	100	2.31	2.67	2.6	2.446	2.12	2.45	2.26	2.237	3	2.89	2.86	2.384
D_TU	automated	50	0.636	0.307	0.454	0.597	1	0.712	0.722	0.42	0.898	0.65	0.41	0.933
D_IRBO	automated	50	0.677	0.659	0.683	0.692	0.656	0.66	0.663	0.684	0.672	0.692	0.682	0.695
D_TU	automated	100	0.614	0.218	0.314	0.366	0.988	0.349	0.367	0.49	0.78	0.525	0.475	0.853
D_IRBO	automated	100	0.675	0.688	0.679	0.686	0.657	0.664	0.668	0.681	0.684	0.683	0.68	0.695
D_rate	Gemma	50	2.146	2.088	2.163	2.338	2.002	2.025	2.005	2.005	2.018	2.007	2.002	2.153
D_rate	Gemma-large	50	2.958	2.851	2.929	2.968	2.977	2.968	2.956	2.777	2.94	2.92	2.82	2.986
D_rate	Llama	50	2.811	2.722	2.819	2.908	2.73	2.759	2.764	2.79	2.727	2.758	2.737	2.824
D_rate	Llama-large	50	2.967	2.86	2.953	2.989	3	2.988	2.986	2.88	2.638	2.75	2.788	2.994
D_rate	Mistral	50	2.449	2.318	2.518	2.735	2.338	2.457	2.393	2.479	2.162	2.144	2.211	2.623
D_rate	Mistral-large	50	2.153	2.128	2.341	2.646	1.907	2.056	2.12	1.967	1.785	1.813	1.786	2.456
D_rate	Qwen	50	3	2.967	2.995	2.995	3	3	2.998	2.989	3	3	2.984	3
D_rate	Qwen-large	50	2.983	2.904	2.953	2.976	3	2.978	2.975	2.789	2.992	2.989	2.853	2.996
D_rate	Gemma	100	2.13	2.056	2.141	2.293	2.008	2.007	2.011	2.003	2.034	2.029	2.033	2.167
D_rate	Gemma-large	100	2.952	2.946	2.926	2.974	2.982	2.95	2.934	2.811	2.958	2.94	2.874	2.99
D_rate	Llama	100	2.759	2.755	2.808	2.883	2.74	2.767	2.751	2.803	2.757	2.729	2.752	2.828
D_rate	Llama-large	100	2.936	2.95	2.945	2.99	2.998	2.98	2.974	2.917	2.853	2.72	2.737	2.99
D_rate	Mistral	100	2.325	2.452	2.495	2.669	2.368	2.443	2.382	2.491	2.228	2.2	2.188	2.504
D_rate	Mistral-large	100	2.054	2.237	2.314	2.574	2.076	2.056	2.045	2.044	1.868	1.858	1.828	2.398
D_rate	Qwen	100	2.999	2.989	2.989	3	3	3	2.999	2.993	3	2.999	2.998	2.999
D_rate	Qwen-large	100	2.983	2.973	2.949	2.98	3	2.958	2.959	2.843	2.993	2.99	2.963	2.996
A_ir-tw	Gemma	50	5.176	5.333	5.037	4.13	5.057	5.184	5.065	4.82	5.041	5.071	5.002	4.932
A_ir-tw	Gemma-large	50	5.23	5.387	5.181	5.253	3.851	4.222	3.704	3.851	4.012	4.071	4.014	3.984
A_ir-tw	Llama	50	7.138	7.176	6.975	6.782	5.144	5.187	5.067	5.153	4.977	5.015	5.009	4.982
A_ir-tw	Llama-large	50	7.98	7.893	7.717	7.653	5.187	5.171	5.123	5.215	5.046	5.042	5.033	4.995
A_ir-tw	Mistral	50	6.098	6.092	6.105	6.132	4.924	4.954	4.865	4.928	4.982	5.013	4.973	4.986
A_ir-tw	Mistral-large	50	6.044	6.036	6.057	6.104	4.841	4.887	4.801	4.835	4.951	4.976	4.937	4.956
A_ir-tw	Qwen	50	7.375	7.274	7.253	7.466	5.594	5.624	5.532	5.684	5.49	5.528	5.503	5.567
A_ir-tw	Qwen-large	50	7.676	7.627	7.895	9.84	8.164	8.202	8.183	8.578	7.123	7.141	7.188	7.333
A_ir-tw	Gemma	100	5.045	5.075	4.817	4.374	4.979	5.129	4.977	4.805	4.996	5.028	4.985	4.963
A_ir-tw	Gemma-large	100	5.147	5.359	5.318	5.212	3.952	4.109	3.665	3.952	3.996	4.025	4.002	4.012
A_ir-tw	Llama	100	7.054	7.114	7.048	6.638	5.095	5.122	5.09	5.104	4.95	4.993	4.967	4.948
A_ir-tw	Llama-large	100	8.068	8.019	8.005	7.534	5.203	5.183	5.144	5.208	5.025	5.021	5.017	5.005
A_ir-tw	Mistral	100	6.081	6.073	6.062	6.13	4.899	4.909	4.871	4.911	4.978	4.989	4.976	4.981
A_ir-tw	Mistral-large	100	6.038	6.026	6.036	6.116	4.805	4.848	4.779	4.831	4.936	4.962	4.922	4.948
A_ir-tw	Qwen	100	7.299	7.257	7.265	7.448	5.552	5.592	5.543	5.669	5.472	5.515	5.502	5.554
A_ir-tw	Qwen-large	100	7.526	6.44	8.144	9.91	8.022	8.242	7.791	8.68	7.101	7.114	7.199	7.355
A_missing-theme	Gemma	50	6.012	5.861	5.804	6.761	5.313	4.456	4.983	4.723	6.384	6.276	6.095	5.561
A_missing-theme	Gemma-large	50	6.025	5.957	5.818	7.341	6.114	5.67	5.675	6.163	7.054	7.205	6.912	6.709
A_missing-theme	Llama	50	4.747	5.162	4.695	6.298	4.932	4.604	4.938	4.723	6.025	6.126	5.368	4.91
A_missing-theme	Llama-large	50	6.013	6.005	5.396	8.279	6.011	5.454	5.501	6.028	6.974	7.028	6.614	6.757
A_missing-theme	Mistral	50	2.8	3.518	2.758	3.185	4.156	3.656	3.507	2.593	5.149	5.445	4.627	3.824
A_missing-theme	Mistral-large	50	6.146	6.132	5.828	7.81	6.525	6.105	6.137	6.476	7.727	7.912	7.405	7.435
A_missing-theme	Qwen	50	6.646	6.536	6.472	8.304	6.819	6.621	6.713	6.883	8.012	8.114	7.999	7.804
A_missing-theme	Qwen-large	50	7.051	6.63	6.744	8.003	7.3	7.179	6.508	5.561	8.627	8.748	8.41	7.804
A_missing-theme	Gemma	100	6.036	6.153	5.927	6.748	5.845	4.339	4.264	4.836	6.287	6.412	6.424	5.491
A_missing-theme	Gemma-large	100	6.282	6.105	5.753	7.437	6.366	5.688	5.5	6.134	7.243	7.156	7.105	6.499
A_missing-theme	Llama	100	4.758	5.116	4.613	6.712	5.296	4.617	4.582	5.055	6.197	6.057	5.781	5.152
A_missing-theme	Llama-large	100	6.009	6.001	5.488	8.369	6.417	5.478	5.229	6.145	7.104	7.191	6.771	6.479
A_missing-theme	Mistral	100	3.189	3.213	2.665	3.786	4.619	3.44	3.18	2.902	5.278	5.183	5.066	4.05
A_missing-theme	Mistral-large	100	6.564	6.349	5.869	8.15	6.847	6.146	5.783	6.447	7.687	7.712	7.536	7.068
A_missing-theme	Qwen	100	6.866	6.822	6.494	8.777	7.081	6.62	6.474	6.941	7.515	8.176	8.173	7.329
A_missing-theme	Qwen-large	100	7.185	6.993	6.645	8.469	7.548	6.941	6.493	5.944	8.211	8.686	8.682	7.69
C_UMASS	automated	50	-3.596	-6.749	-5.416	-5.127	-5.392	-5.12	-5.574	-5.153	-19.005	-19.373	-17.381	-18.088
C_NPMI	automated	50	-0.063	-0.04	-0.051	-0.069	0.035	0.08	0.054	0.047	-0.436	-0.425	-0.395	-0.3134
C_V	automated	50	0.462	0.47	0.519	0.522	0.507	0.607	0.553	0.545	0.506	0.513	0.473	0.418
C_UMASS	automated	100	-3.718	-6.296	-5.819	-4.514	-8.9755	-5.042	-4.842	-4.774	-16.816	-19.315	-19.14	-17.5573
C_NPMI	automated	100	-0.117	-0.05	-0.05	-0.025	-0.039	0.0869	0.077	0.053	-0.343	-0.417	-0.44	-0.289
C_V	automated	100	0.413	0.507	0.521	0.564	0.426	0.618	0.59	0.558	0.36	0.511	0.519	0.38
D_TU	automated	50	0.636	0.307	0.454	0.597	1	0.712	0.722	0.42	0.898	0.65	0.41	0.933
D_IRBO	automated	50	0.677	0.659	0.683	0.692	0.656	0.66	0.663	0.684	0.672	0.692	0.682	0.695
D_TU	automated	100	0.614	0.218	0.314	0.366	0.988	0.349	0.367	0.49	0.78	0.525	0.475	0.853
D_IRBO	automated	100	0.675	0.688	0.679	0.686	0.657	0.664	0.668	0.681	0.684	0.683	0.68	0.695